Pulse , Rot. period , Tstart/ Tob , ToA(MJD) , Width(ms) ,  Peak flux(mJy) ,  Fluence(Jyms) , Energy(erg) , Cntrl freq.(MHz) , Bandwidth(MHz) , DM(pc cm-3)%
551,466,  /  ,59152.47871, 10.5 (7) , 23.5 (11) , 0.024 (2) ,1.62,1244 ,273, 333.4 (8)%
552,467,  /  ,59152.48161, 5.8 (4) , 8.0 (4) , 0.036 (4) ,2.44,  ,  , 332.2 (7)%
553,468,  /  ,59152.48191, 8.5 (5) , 22.1 (11) , 0.018 (2) ,1.22,1248 ,267, 332.9 (2)%
554,  ,  /  ,59152.48191, 26.8 (11) , 20.8 (10) , 0.055 (4) ,3.64,1264 ,267, 332.9 (2)%
555,469,  /  ,59152.48349, 4.7 (3) , 26.2 (13) , 0.012 (1) ,0.81,1123 ,63, 333.2 (4)%
556,470,  /  ,59152.48439, 25.3 (14) , 16.9 (8) , 0.042 (3) ,2.74,  ,  , 332.7 (9)%
557,471,  /  ,59152.48469, 14.3 (13) , 4.5 (2) , 0.051 (6) ,3.36,1266 ,306, 332.9 (2)%
558,472,  /  ,59152.48743, 2.1 (2) , 11.6 (6) , 0.019 (2) ,1.22,  ,  , 332.7 (4)%
559,473,  /  ,59152.48871, 4.1 (3) , 9.4 (5) , 0.030 (3) ,2.03,1135 ,213, 332.2 (7)%
560,474,  /  ,59152.49097, 4.9 (4) , 23.5 (11) , 0.011 (1) ,0.71,  ,  , 331.5 (6)%
561,475,  /  ,59152.49108, 2.5 (2) , 10.0 (5) , 0.019 (2) ,1.32,1131 ,156, 333.1 (9)%
562,476,  /  ,59152.4913, 6.9 (5) , 18.9 (9) , 0.013 (1) ,0.81,1135 ,152, 333.0 (7)%
563,477,  /  ,59152.49322, 13.5 (12) , 13.6 (7) , 0.018 (2) ,1.22,1141 ,44, 333.0 (1)%
